name,image_path,dob,photo_taken,gender,face_score,second_face_score
Sami Jauhojärvi,17/10000217_1981-05-05_2009.jpg,723671,2009,1.0,4.3009623883308095,
Dettmar Cramer,48/10000548_1925-04-04_1964.jpg,703186,1964,1.0,2.6456394971903463,1.9492479052091165
Marc Okrand,12/100012_1948-07-03_2008.jpg,711677,2008,1.0,4.329328832406529,
Diana Damrau,16/10002116_1971-05-31_2012.jpg,720044,2012,0.0,3.408442415222501,
Krista Tippett,02/10002702_1960-11-09_2012.jpg,716189,2012,0.0,4.748056377951486,
Bernie Whitebear,41/10003541_1937-09-27_1971.jpg,707745,1971,1.0,4.1848283121533445,
Clarence Nash,39/100039_1904-12-07_1982.jpg,695763,1982,1.0,3.0063501245987734,1.1033395762867348
Carl Greenberg,99/10004299_1908-08-19_1950.jpg,697114,1950,1.0,4.526657044651478,
Eddie Adams,56/1000456_1933-06-12_1969.jpg,706177,1969,1.0,5.5518409885255,
Viktor Pfeifer,82/10004882_1987-05-16_2010.jpg,725873,2010,1.0,3.9754782597283795,
Sharka Blue,47/10005947_1981-04-07_2006.jpg,723643,2006,0.0,4.143016079572957,
Pat Green,84/1000684_1972-04-05_2004.jpg,720354,2004,1.0,1.470754811661026,
David Bromstad,50/10006850_1973-08-17_2010.jpg,720853,2010,1.0,3.242851859571786,
Theodore Edgar McCarrick,81/1000781_1930-07-07_2008.jpg,705106,2008,1.0,3.680456090252123,
"Thomas Midgley, Jr.",87/100087_1889-05-19_1940.jpg,690083,1940,1.0,2.9926363865549193,
Damon Albarn,97/100097_1968-03-23_2010.jpg,718880,2010,1.0,4.297714671315127,
Diomansy Kamara,91/1001191_1980-11-08_2011.jpg,723493,2011,1.0,2.2752931504808536,
Peter Crouch,31/1001231_1981-01-30_2014.jpg,723576,2014,1.0,4.028333302478682,
Britta Johansson Norgren,32/10012532_1983-03-30_2011.jpg,724365,2011,0.0,4.585282807144463,
Virginia Mayo,19/1001319_1920-11-30_1950.jpg,701600,1950,0.0,2.2844780143481933,
Prince Claus of the Netherlands,31/100131_1926-09-06_1986.jpg,703706,1986,1.0,4.902966480237615,
Mehdi El Glaoui,45/10013345_1956-05-26_1969.jpg,714561,1969,1.0,4.598561071814541,
Alan Rusbridger,64/1001464_1953-12-29_2014.jpg,713682,2014,1.0,2.795553626934239,
Chandrachur Singh,95/10014795_1968-10-11_2010.jpg,719082,2010,1.0,5.83799354555387,
Maksim Buznikin,79/10015679_1977-03-01_2007.jpg,722145,2007,1.0,5.640263214902015,
Ravi Shankar,56/100156_1920-04-07_1988.jpg,701363,1988,1.0,1.6432300582028034,
Thomas Enevoldsen,74/10016074_1987-07-27_2012.jpg,725945,2012,1.0,5.198935529601353,
Gregory van der Wiel,25/10016225_1988-02-03_2012.jpg,726136,2012,1.0,3.0973002636851317,
Shuli Rand,35/10016635_1962-02-08_2011.jpg,716645,2011,1.0,0.8834353665014355,
Katharina Franck,88/10016688_1963-07-28_2009.jpg,717180,2009,0.0,3.6644298834540887,
Daniel Stephan,64/10017464_1973-08-03_2007.jpg,720839,2007,1.0,5.343139771187023,
Edsger W. Dijkstra,18/10018_1930-05-11_2002.jpg,705049,2002,1.0,2.1200725654139307,
Jamie Little,95/10019295_1978-04-09_2009.jpg,722549,2009,0.0,3.660476658657166,0.9101411675512835
Tim Westwood,96/100196_1957-10-03_2010.jpg,715056,2010,1.0,1.5530068982199543,
Ronan Tynan,48/1002248_1960-05-14_2007.jpg,716010,2007,1.0,2.01142503067685,
Grand L. Bush,05/10024005_1955-12-24_2012.jpg,714407,2012,1.0,1.6825633089862544,
Luke Ford,27/1002427_1966-05-28_2000.jpg,718215,2000,1.0,4.628749123585657,0.8555187684377201
Marv Luster,54/10024854_1937-11-27_1960.jpg,707806,1960,1.0,2.1741090502962757,
Igor Denisov,21/10026321_1984-05-17_2014.jpg,724779,2014,1.0,3.579296562259387,
Patrice Motsepe,87/1002787_1962-01-28_2009.jpg,716634,2009,1.0,2.3861838105359663,
Jeremy Scahill,62/10028362_1974-10-18_2007.jpg,721280,2007,1.0,3.574193712293149,
Bonnie Raitt,85/100285_1949-11-08_2007.jpg,712170,2007,0.0,1.0887760001425466,
Ton van Loon,21/10028621_1956-10-10_2010.jpg,714698,2010,1.0,2.5018410061868983,
Curtis Sliwa,71/1002871_1954-03-26_2007.jpg,713769,2007,1.0,3.235915119442618,
Clark Johnson,23/1002923_1954-09-10_2009.jpg,713937,2009,1.0,2.4973015435278874,
Dexter Fletcher,80/1002980_1966-01-31_2012.jpg,718098,2012,1.0,4.956032345809338,
Melissa Rauch,13/10030613_1980-06-23_2013.jpg,723355,2013,0.0,3.3197362746058414,
Jure Robič,43/1003243_1965-04-10_2007.jpg,717802,2007,1.0,4.004869221818018,
Bruce Degen,59/10033359_1945-06-14_2012.jpg,710562,2012,1.0,4.112617691089812,
Jerry Herman,39/100339_1931-07-10_2010.jpg,705474,2010,1.0,2.809603118022331,
Red Holzman,49/1003449_1920-08-10_1970.jpg,701488,1970,1.0,4.028829034269829,
Jay Hieron,29/10034929_1976-07-29_2009.jpg,721930,2009,1.0,3.041627137600959,
Kavinsky,34/10038134_1975-07-31_2007.jpg,721566,2007,1.0,1.7507017270197,
Willem-Alexander of the Netherlands,84/100384_1967-04-27_2015.jpg,718549,2015,1.0,4.23657431912644,
Prince Constantijn of the Netherlands,87/100387_1969-10-11_2013.jpg,719447,2013,1.0,3.2980966439990085,
Joshua Bloch,38/10038938_1961-08-28_2008.jpg,716481,2008,1.0,0.8756134873962859,
Omer Vanaudenhove,23/10039123_1913-12-03_1976.jpg,699046,1976,1.0,2.055348433710995,
Ayako Kawasumi,48/1003948_1976-03-30_2006.jpg,721809,2006,0.0,3.4625193832524364,
Andrew McDonald,61/10040161_1955-10-19_1984.jpg,714341,1984,1.0,4.302474466933985,3.9848303461673273
Carlos Bocanegra,27/1004027_1979-05-25_2010.jpg,722960,2010,1.0,3.7821766639207466,
Ruud Boffin,19/10040419_1987-11-05_2012.jpg,726046,2012,1.0,0.9608092537803354,
Trisha Yearwood,59/1004059_1964-09-19_2010.jpg,717599,2010,0.0,1.4593627896277757,
Robert Plant,05/100405_1948-08-20_2010.jpg,711725,2010,1.0,1.6996363424278569,
Carlos Ruiz,78/1004078_1979-09-15_2007.jpg,723073,2007,1.0,1.8459519360248207,
Amado Guevara,07/1004107_1976-05-02_2008.jpg,721842,2008,1.0,1.7885053363311725,
Cobi Jones,60/1004160_1970-06-16_2007.jpg,719695,2007,1.0,3.0912951031731306,
David Deming,78/10043078_1954-03-18_2006.jpg,713761,2006,1.0,4.796005743921171,1.879418569617147
Liam Miller,29/1004429_1981-02-13_2007.jpg,723590,2007,1.0,4.597932586281533,
Sarah Manners,40/1004540_1975-08-25_2011.jpg,721591,2011,0.0,5.244717610419388,
Matthew Taylor,04/1004604_1981-11-27_2012.jpg,723877,2012,1.0,1.2124626459715249,
Jim Harmon,06/10046706_1933-04-21_1962.jpg,706125,1962,1.0,1.6393847455655444,1.0882555580802182
AnnaLynne McCord,56/10046756_1987-07-16_2014.jpg,725934,2014,0.0,2.831632070596439,
Barbara Steele,54/1004854_1937-12-29_1961.jpg,707838,1961,0.0,2.96463644712484,
Isabel Jeans,00/10049200_1891-09-16_1958.jpg,690933,1958,0.0,5.254818639993248,
Eric Clapton,49/10049_1945-03-30_2008.jpg,710486,2008,1.0,2.380850462495707,
Jo Anne Worley,79/1005079_1937-09-06_2010.jpg,707724,2010,0.0,3.3343514755536487,
Rick Braun,31/1005131_1955-07-06_2005.jpg,714236,2005,1.0,3.056615300266259,
Gurinder Chadha,58/1005258_1960-01-10_2013.jpg,715885,2013,0.0,5.197344366635476,
Loïc Duval,11/10054011_1982-06-12_2009.jpg,724074,2009,1.0,3.842110512234417,
Jim Bowen,25/1005525_1937-08-20_2008.jpg,707707,2008,1.0,1.9209091869692125,
Keir Gilchrist,79/10055379_1992-09-28_2010.jpg,727835,2010,1.0,4.015770940039251,
Lance Mackey,88/10058588_1970-06-02_2009.jpg,719681,2009,1.0,2.969186056059951,
Rainbow Sun Francks,27/1005927_1979-12-03_2006.jpg,723152,2006,1.0,4.9794175276846975,
Katsuhiko Nakajima,26/10059326_1988-03-11_2009.jpg,726173,2009,1.0,2.6033401070076803,1.783728175555551
David Hewlett,47/1005947_1968-04-18_2007.jpg,718906,2007,1.0,1.642414125236737,
John Whitworth,15/10059615_1912-01-10_1943.jpg,698353,1943,1.0,1.4554885021800081,1.0905989818764479
Glen Phillips,11/1006211_1970-12-29_2011.jpg,719891,2011,1.0,2.194798090207035,
Paul Aguilar,37/10063437_1986-03-06_2014.jpg,725437,2014,1.0,2.101433363604802,
Vitali Novikov,82/10063582_1979-01-13_2005.jpg,722828,2005,1.0,2.154629785508937,1.5056319571117984
Charlyne Yi,03/10064003_1986-01-04_2009.jpg,725376,2009,0.0,3.7228474993372727,
Deidre Downs,07/1006407_1980-07-07_2005.jpg,723369,2005,0.0,5.482030546880283,
Paul Anka,91/100691_1941-07-30_2007.jpg,709147,2007,1.0,2.135898942995504,
Denzel Washington,92/100692_1954-12-28_2000.jpg,714046,2000,1.0,4.708681548697594,
Benjamin Biolay,07/1007007_1973-01-20_2011.jpg,720644,2011,1.0,3.200606044055522,
Frankie Edgar,45/10071745_1981-10-16_2010.jpg,723835,2010,1.0,3.881406275791293,
Lee Meriwether,92/1007192_1935-05-27_2005.jpg,706891,2005,0.0,3.706717689936597,
Elizabeth Gracen,71/10071_1961-04-03_2010.jpg,716334,2010,0.0,4.790645351325969,
Nir Shaviv,98/10072598_1972-07-06_2009.jpg,720446,2009,1.0,3.536742823056265,
Clint Dempsey,99/1007499_1983-03-09_2013.jpg,724344,2013,1.0,3.8409820600124087,
Bob Weltlich,01/10075401_1944-11-05_1982.jpg,710341,1982,1.0,3.6352140841181715,
Junjun,15/10075415_1988-01-11_2010.jpg,726113,2010,0.0,4.590059231512015,
Ron Romanick,99/10075699_1960-11-06_2011.jpg,716186,2011,1.0,0.8244949784935589,
Claudio Suárez,36/1007636_1968-12-17_2012.jpg,719149,2012,1.0,2.869201963641347,
Donn F. Draeger,09/1007709_1922-04-15_1967.jpg,702101,1967,1.0,1.4285060862134291,
Paco de Lucía,64/1007764_1947-12-21_2007.jpg,711482,2007,1.0,3.336624114869822,
DeFord Bailey,67/1007767_1899-12-14_1970.jpg,693944,1970,1.0,1.399921086695578,
Linlin,69/10079169_1991-03-11_2010.jpg,727268,2010,0.0,3.6442533705686007,
Brittany Snow,28/1007928_1986-03-09_2009.jpg,725440,2009,0.0,4.956615363597603,
